id,location,name,coordinates
02t,แขวงหิรัญรูจี เขตธนบุรี กทม.,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,"13.732426463584861, 100.49015667339364"
05t,แขวงบางนา เขตบางนา กทม.,กรมอุตุนิยมวิทยา,"13.66791601805487, 100.60501734347488"
10t,แขวงคลองจั่น เขตบางกะปิ กทม.,เคหะชุมชนคลองจั่น,"13.768421204495263, 100.64995084428647"
11t,แขวงดินแดง เขตดินแดง กทม.,สนามกีฬาเคหะชุมชนห้วยขวาง,"13.77908836851679, 100.56929369363229"
12t,แขวงช่องนนทรี เขตยานนาวา กทม.,โรงเรียนนนทรีวิทยา,"13.707485082149482, 100.54709488013903"
59t,แขวงพญาไท เขตพญาไท กทม.,กรมประชาสัมพันธ์,"13.781508545396507, 100.538146780084"
61t,แขวงพลับพลา เขตวังทองหลาง กทม.,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี),"13.771671960826078, 100.61382751776014"
03t,ริมถนนกาญจนาภิเษก แขวงแสมดำ เขตบางขุนเทียน กทม.,ริมถนนกาญจนาภิเษก,"13.645451937711213, 100.40560138710092"
50t,ริมถนนพระรามสี่ แขวงปทุมวัน เขตปทุมวัน กทม.,โรงพยาบาลจุฬาลงกรณ์,"13.73388063294745, 100.53443553092688"
52t,ริมถนนอินทรพิทักษ์ แขวงบางยี่เรือ เขตธนบุรี กทม.,สถานีไฟฟ้าย่อยธนบุรี,"13.729998592966359, 100.48601579371935"
53t,ริมถนนลาดพร้าว แขวงวังทองหลาง เขตวังทองหลาง กทม.,สถานีตำรวจนครบาลโชคชัย,"13.795463918748847, 100.59337753781288"
54t,ริมถนนดินแดง แขวงดินแดง เขตดินแดง กทม.,เคหะชุมชนดินแดง,"13.764417628605102, 100.5542154232553"
08t,ต.ทรงคนอง อ.พระประแดง จ.สมุทรปราการ,ศูนย์ฟื้นฟูอาชีพคนพิการและทุพพลภาพพระประแดง,"13.665465615411808, 100.5432724954825"
16t,ต.บางโปรง อ.เมือง จ.สมุทรปราการ,โรงไฟฟ้าพระนครใต้,"13.621193693466568, 100.56054822828494"
17t,ต.ตลาด อ.พระประแดง จ.สมุทรปราการ,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,"13.657892961478957, 100.53187451374706"
18t,ต.ปากน้ำ อ.เมือง จ.สมุทรปราการ,ศาลากลางจังหวัดสมุทรปราการ,"13.599625747398735, 100.59697232616966"
19t,ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ,เคหะชุมชนเมืองใหม่บางพลี,"13.566463189928253, 100.77174295385399"
13t,ต.ตลาดขวัญ อ.เมือง จ.นนทบุรี,กรมควบคุมโรค,"13.853709121861604, 100.52713326665005"
22t,ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี,มหาวิทยาลัยสุโขทัยธรรมาธิราช,"13.911580206170871, 100.53731385738904"
14t,ต.อ้อมน้อย อ.กระทุ่มแบน จ.สมุทรสาคร,หน่วยบริการตำรวจทางหลวงศรีสำราญ สมุทรสาคร,"13.705410536999299, 100.31528678384386"
27t,ต.มหาชัย อ.เมือง จ.สมุทรสาคร,โรงเรียนสมุทรสาครวิทยาลัย,"13.54950932636421, 100.26484700526724"
20t,ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี,มหาวิทยาลัยกรุงเทพ (วิทยาเขตรังสิต),"14.039941950346151, 100.61347058821525"
81t,ต.นครปฐม อ.เมือง จ.นครปฐม,อ่างเก็บน้ำประปา นครปฐม,"13.831210017289616, 100.05652338384628"
21t,ต.ประตูชัย อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา,โรงเรียนอยุธยาวิทยาลัย,"14.352139500178936, 100.56701709734834"
24t,ต.หน้าพระลาน อ.เฉลิมพระเกียรติ จ.สระบุรี,สถานีตำรวจภูธรตำบลหน้าพระลาน,"14.686461694775964, 100.87115206084692"
25t,ต.ปากเพรียว อ.เมือง จ.สระบุรี,สถานีดับเพลิงพระลักษณ์,"14.526950118686534, 100.92562906666346"
26t,ต.หน้าเมือง อ.เมือง จ.ราชบุรี,สำนักงานสิ่งแวดล้อมภาคที่ ๘ ราชบุรี,"13.524109127323658, 99.81395760711918"
79t,ต.บ้านเหนือ อ.เมือง จ.กาญจนบุรี,สถานีอุตุนิยมวิทยากาญจนบุรี,"14.022516405480728, 99.53596112432541"
84t,ต.ลาดใหญ่ อ.เมือง จ.สมุทรสงคราม,สำนักงานสาธารณสุขจังหวัดสมุทรสงคราม,"13.427852946752045, 100.02384822060917"
85t,ต.ดอนกำยาน อ.เมือง จ.สุพรรณบุรี,สนามกีฬากลางจังหวัดสุพรรณบุรี,"14.476081168049127, 100.08687363597393"
99t,ต.ทะเลชุบศร อ.เมืองลพบุรี จ.ลพบุรี,สถานีอุตุนิยมวิทยาลพบุรี,"14.80015146213197, 100.62821160899693"
100t,ต.หัวหิน อ.หัวหิน จ.ประจวบคีรีขันธ์,สถานีตรวจอากาศหัวหิน สถานีอุตุนิยมวิทยาประจวบคีรีขันธ์,"12.578375985795615, 99.95386582429849"
46t,ต.ในเมือง อ.เมือง จ.ขอนแก่น,ส่วนอุทกวิทยา สำนักงานทรัพยากรน้ำภาค ๔ ขอนแก่น,"16.448412001670594, 102.84173206677585"
47t,ต.ในเมือง อ.เมือง จ.นครราชสีมา,สถานีสูบน้ำเสียที่ ๑ ห้าแยกไอที นครราชสีมา,"14.980898345008518, 102.09695545719862"
72t,ต.กุดป่อง อ.เมือง จ.เลย,สวนสาธารณะเฉลิมพระเกียรติ 60 พรรษา มหาราชินี,"17.485757805443335, 101.73457067176207"
82t,ต.มีชัย อ.เมือง จ.หนองคาย,สวนสาธารณะหนองถิ่น,"17.877119832023553, 102.72640909742785"
83t,ต.ในเมือง อ.เมือง จ.อุบลราชธานี,ศูนย์แสดงและจำหน่ายสินค้า OTOP จังหวัดอุบลราชธานี,"15.269019759458399, 104.83796128845842"
88t,ต.ในเมือง อ.เมือง จ.นครพนม,สถานีอุตุนิยมวิทยานครพนม,"17.412702864307334, 104.77933647599"
90t,ต.ธาตุนาเวง อ.เมือง จ.สกลนคร,สถานีอุตุนิยมวิทยาสกลนคร,"17.156469963891887, 104.13354681831171"
91t,ต.หมากแข้ง อ.เมือง จ.อุดรธานี,บริเวณสวนสาธารณะหนองประจักษ์,"17.41926279340208, 102.7811208587935"
101t,ต.เสม็ด อ.เมือง  จ.บุรีรัมย์,ศาลากลางจังหวัดบุรีรัมย์,"14.944353006834552, 103.10717631032746"
102t,ต.มุกดาหาร อ.เมืองมุกดาหาร จ.มุกดาหาร,สนามกีฬากลางจังหวัดมุกดาหาร,"16.54379843215781, 104.72109772385457"
28t,ต.ปลวกแดง อ.ปลวกแดง จ.ระยอง,สำนักงานสาธารณสุขอำเภอปลวกแดง,"12.973659066837268, 101.21378735446918"
29t,ต.มาบตาพุด อ.เมือง จ.ระยอง,โรงพยาบาลส่งเสริมสุขภาพตำบลมาบตาพุด,"12.70895804333549, 101.16634653912016"
30t,ต.ท่าประดู่ อ.เมือง จ.ระยอง,สำนักงานเกษตรจังหวัดระยอง,"12.672122662601758, 101.27673582748018"
31t,ต.ห้วยโป่ง อ.เมือง จ.ระยอง,ศูนย์วิจัยพืชไร่ระยอง,"12.733039672471385, 101.13549180657974"
74t,ต.เนินพระ อ.เมือง จ.ระยอง,ศูนย์ราชการจังหวัดระยอง,"12.70720015953827, 101.18360767548378"
32t,ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี,สนามกีฬาเทศบาลแหลมฉบัง,"13.11823187349049, 100.91843963171799"
